key,instantiation-moment,title,description,priority,status,executionPeriodStart,executionPeriodFinish,link
objective-01,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,https://github.com/Jaime-Linares
objective-02,2000/01/01 00:01,title estándar,description estándar,MEDIUM,true,2000/05/31 10:00,2000/06/04 10:00,https://github.com/Jaime-Linares
objective-03,2000/01/01 00:02,title estándar,description estándar,MEDIUM,true,2000/05/31 10:00,2000/06/04 10:00,https://github.com/Jaime-Linares
objective-04,2022/07/29 23:59,title estándar,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-05,2022/07/29 23:58,title estándar,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-06,2022/05/29 10:00,t,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-07,2022/05/29 10:00,ti,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-08,2022/05/29 10:00,esto es un title de exactamente 75 caracteres - - - - - - - - - - - - - - -,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-09,2022/05/29 10:00,esto es un title de exactamente 74 caracteres - - - - - - - - - - - - - -,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-10,2022/05/29 10:00,esto es un title de 33 caracteres,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-11,2022/05/29 10:00,你好,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-12,2022/05/29 10:00,<h3>Soy Jaime :)</h3>,description estándar,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-13,2022/05/29 10:00,title estándar,d,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-14,2022/05/29 10:00,title estándar,de,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-15,2022/05/29 10:00,title estándar,esto es un description de exactamente 100 caracteres - - - - - - - - - - - - - - - - - - - - - - - -,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-16,2022/05/29 10:00,title estándar,esto es un description de exactamente 99 caracteres - - - - - - - - - - - - - - - - - - - - - - - -,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-17,2022/05/29 10:00,title estándar,esto es un description de exactamente 51 caracteres,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-18,2022/05/29 10:00,title estándar,你好,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-19,2022/05/29 10:00,title estándar,<h3>Soy Jaime :)</h3>,MEDIUM,true,2023/05/31 10:00,2023/06/04 10:00,https://github.com/Jaime-Linares
objective-20,2022/05/29 10:00,title estándar,description estándar,LOW,true,2022/05/31 10:00,2022/06/04 10:00,https://github.com/Jaime-Linares
objective-21,2022/05/29 10:00,title estándar,description estándar,HIGH,true,2022/05/31 10:00,2022/06/04 10:00,https://github.com/Jaime-Linares
objective-22,2022/05/29 10:00,title estándar,description estándar,MEDIUM,false,2022/05/31 10:00,2022/06/04 10:00,https://github.com/Jaime-Linares
objective-23,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/29 10:01,2022/06/29 11:02,https://github.com/Jaime-Linares
objective-24,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/29 10:02,2022/06/29 11:03,https://github.com/Jaime-Linares
objective-25,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2200/12/31 22:58,2200/12/31 23:59,https://github.com/Jaime-Linares
objective-26,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2200/12/30 22:57,2200/12/30 23:58,https://github.com/Jaime-Linares
objective-27,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/05/31 11:01,https://github.com/Jaime-Linares
objective-28,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/05/31 11:02,https://github.com/Jaime-Linares
objective-29,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2200/12/31 23:59,https://github.com/Jaime-Linares
objective-30,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2200/12/30 23:58,https://github.com/Jaime-Linares
objective-31,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,
objective-32,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,http://happybirthday.com
objective-33,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,https://www.ejemplo.com?
objective-34,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,https://www.ejemplo.com/pagina?parametro1=valor1&parametro2=valor2
objective-35,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,ftp://ftp.microsoft.com/
objective-36,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,ftp://ftp.example.com/file.txt?user=username&password=12345
objective-37,2022/05/29 10:00,title estándar,description estándar,MEDIUM,true,2022/05/31 10:00,2022/06/04 10:00,http://acmejob255caracteres-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------/
